Dates,x_close,y_close
2016-07-03,121.82,123.08
2016-07-03,121.84,123.1
2016-07-03,121.79,123.12
2016-07-03,121.84,123.15
2016-07-03,121.85,123.12
2016-07-03,121.85,123.12
2016-07-03,121.83,123.16
2016-07-03,121.83,123.16
2016-07-03,121.86,123.18
2016-07-03,121.91,123.18
2016-07-03,121.91,123.2
2016-07-03,121.91,123.21
2016-07-03,121.89,123.2
2016-07-03,121.96,123.2
2016-07-03,121.86,123.17
2016-07-03,121.81,123.16
2016-07-03,121.85,123.13
2016-07-03,121.82,123.14
2016-07-03,121.81,123.12
2016-07-03,121.82,123.14
2016-07-03,121.81,123.12
2016-07-03,121.81,123.13
2016-07-03,121.81,123.1
2016-07-03,121.78,123.1
2016-07-03,121.8,123.08
2016-07-03,121.81,123.13
2016-07-03,121.79,123.1
2016-07-03,121.82,123.12
2016-07-03,121.82,123.1
2016-07-03,121.8,123.13
2016-07-03,121.79,123.13
2016-07-03,121.78,123.16
2016-07-03,121.91,123.17
2016-07-03,121.91,123.19
2016-07-03,121.91,123.22
2016-07-03,121.91,123.22
2016-07-03,121.91,123.25
2016-07-03,121.92,123.25
2016-07-03,121.86,123.26
2016-07-03,121.8,123.25
2016-07-03,121.76,123.21
2016-07-03,121.71,123.13
2016-07-03,121.69,123.1
2016-07-03,121.69,123.09
2016-07-03,121.68,123.05
2016-07-03,121.66,123.02
2016-07-03,121.66,123.03
2016-07-03,121.66,123.05
2016-07-03,121.66,123.04
2016-07-03,121.6,123
2016-07-03,121.57,122.97
2016-07-03,121.56,122.96
2016-07-03,121.54,122.95
2016-07-03,121.56,122.95
2016-07-03,121.59,122.94
2016-07-03,121.59,122.9
2016-07-03,121.59,122.94
2016-07-03,121.54,122.98
2016-07-03,121.6,122.98
2016-07-03,121.59,123.01
2016-07-03,121.62,123.01
2016-07-03,121.61,123.05
2016-07-03,121.64,123.03
2016-07-03,121.67,123.04
2016-07-03,121.68,123.06
2016-07-03,121.68,123.05
2016-07-03,121.68,123.06
2016-07-03,121.72,123.07
2016-07-03,121.79,123.11
2016-07-03,121.79,123.14
2016-07-03,121.82,123.15
2016-07-03,121.79,123.14
2016-07-03,121.79,123.15
2016-07-03,121.78,123.16
2016-07-03,121.77,123.13
2016-07-03,121.74,123.11
2016-07-03,121.73,123.09
2016-07-03,121.71,123.09
2016-07-03,121.7,123.07
2016-07-03,121.7,123.08
2016-07-03,121.76,123.07
2016-07-03,121.76,123.08
2016-07-03,121.8,123.1
2016-07-03,121.78,123.11
2016-07-03,121.67,123.09
2016-07-03,121.6,123.08
2016-07-03,121.59,123.02
2016-07-03,121.56,122.95
2016-07-03,121.61,122.92
2016-07-03,121.69,122.95
2016-07-03,121.79,122.93
2016-07-03,121.79,122.98
2016-07-03,121.75,123.01
2016-07-03,121.89,123.06
2016-07-03,121.88,123.08
2016-07-03,121.92,123.09
2016-07-03,121.88,123.1
2016-07-03,121.83,123.12
2016-07-03,121.83,123.1
2016-07-03,121.83,123.11
2016-07-03,121.91,123.13
2016-07-03,121.86,123.15
2016-07-03,121.81,123.15
2016-07-03,121.85,123.16
2016-07-03,121.84,123.15
2016-07-03,121.95,123.2
2016-07-03,121.92,123.21
2016-07-03,121.9,123.25
2016-07-03,121.92,123.28
2016-07-03,121.91,123.26
2016-07-03,121.84,123.27
2016-07-03,121.88,123.26
2016-07-03,121.86,123.24
2016-07-03,121.85,123.27
2016-07-03,121.88,123.24
2016-07-03,121.89,123.26
2016-07-03,121.95,123.25
2016-07-03,121.96,123.25
2016-07-03,121.95,123.27
2016-07-03,121.94,123.23
2016-07-03,121.94,123.23
2016-07-03,121.9,123.24
2016-07-03,121.95,123.22
2016-07-03,122.1,123.28
2016-07-03,122.16,123.32
2016-07-03,122.18,123.35
2016-07-03,122.19,123.37
2016-07-03,122.14,123.4
2016-07-03,122.18,123.41
2016-07-03,122.16,123.39
2016-07-03,122.11,123.39
2016-07-03,122.11,123.38
2016-07-03,122.09,123.37
